,sales
799,6
800,1
801,2
802,10
803,68
804,9
805,1
806,27
807,16
808,7
809,9
810,3
811,22
812,1
813,15
814,3
815,49
816,23
817,5
818,18
819,9
820,6
821,1
822,5
823,140
824,3
825,23
826,9
827,16
828,1
829,4
830,2
831,3
832,3
833,45
834,3
835,6
836,5
837,3
838,1
839,15
840,77
841,12
842,182
843,1
844,12
845,61
846,2
847,10
848,30
849,2
850,50
851,10
852,12
853,6
854,1
855,5
856,3
857,15
858,41
859,24
860,43
861,2
862,2
863,20
864,15
865,6
866,8
867,8
868,641
869,1
870,32
871,4
872,3
873,13
874,1
875,66
876,9
877,139
878,2
879,19
880,8
881,19
882,69
883,2
884,18
885,7
886,7
887,10
888,8
889,144
890,7
891,11
892,1
893,12
894,79
895,52
896,4
897,2
898,5
899,19
900,24
901,9
902,1
903,6
904,1
905,10
906,43
907,18
908,4
909,18
910,4
911,14
912,14
913,148
914,3
915,5
916,8
917,18
918,13
919,1
920,11
921,2
922,5
923,2
924,9
925,7
926,7
927,5
928,5
929,33
930,4
931,6
932,91
933,4
934,2
935,127
936,15
937,90
938,159
939,42
940,2
941,17
942,5
943,8
944,2
945,4
946,2
947,849
948,31
949,6
950,425
951,6
952,10
953,3
954,11
955,6
956,168
957,2
958,152
959,1
960,4
961,8
962,1
963,4
964,40
965,4
966,328
967,1
968,12
969,2
970,20
971,63
972,2
973,1
974,278
975,202
976,25
977,1
978,13
979,66
980,23
981,6
982,8
983,5
984,15
985,141
986,27
987,11
988,1
989,4
990,3
991,6
992,1
993,19
994,3
995,30
996,1
997,11
998,12
999,5
1000,311
1001,8
1002,18
1003,26
1004,1
1005,14
1006,1
1007,8
1008,7
1009,47
1010,24
1011,112
1012,60
1013,352
1014,2
1015,105
1016,19
1017,7
1018,35
1019,232
1020,2
1021,2
1022,3
1023,15
1024,2
1025,3
1026,12
1027,15
1028,14
1029,10
1030,18
1031,2
1032,11
1033,1
1034,7
1035,5
1036,3
1037,139
1038,7
1039,133
1040,11
1041,1
1042,3
1043,20
1044,5
1045,12
1046,11
1047,34
1048,14
1049,22
1050,5
1051,10
1052,4
1053,8
1054,2
1055,10
1056,1
1057,79
1058,20
1059,1
1060,8
1061,5
1062,118
1063,8
1064,4
1065,14
1066,22
1067,7
1068,43
1069,18
1070,8
1071,7
1072,30
1073,10
1074,11
1075,4
1076,4
1077,5
1078,7
1079,23
1080,38
1081,32
1082,9
1083,1
1084,1
1085,8
1086,10
1087,1
1088,26
1089,1
1090,1
1091,23
1092,1
1093,7
1094,9
1095,3
1096,45
1097,33
1098,15
1099,2
1100,401
1101,27
1102,19
1103,156
1104,10
1105,19
1106,38
1107,3
1108,4
1109,123
1110,15
1111,1
1112,11
1113,63
1114,2
1115,5
1116,6
1117,251
1118,8
1119,33
1120,2
1121,2
1122,62
1123,11
1124,4
1125,116
1126,1
1127,2
1128,15
1129,3
1130,3
1131,36
1132,14
1133,2
1134,9
1135,12
1136,148
1137,35
1138,4
1139,141
1140,2
1141,1
1142,10
1143,6
1144,2
1145,27
1146,23
1147,13
1148,97
1149,6
1150,6
1151,27
1152,2
1153,5
1154,39
1155,384
1156,6
1157,12
1158,2
1159,215
1160,5
1161,62
1162,168
1163,8
1164,2
1165,3
1166,6
1167,17
1168,380
1169,131
1170,71
1171,4
1172,42
1173,2
1174,15
1175,17
1176,4
1177,28
1178,19
1179,5
1180,7
1181,4
1182,1
1183,6
1184,3
1185,5
1186,11
1187,5
1188,1
1189,18
1190,12
1191,35
1192,204
1193,36
1194,4
1195,8
1196,5
1197,90
1198,1
1199,36
1200,328
1201,11
1202,5
1203,1
1204,173
1205,1
1206,207
1207,92
1208,6
1209,1
1210,120
1211,1
1212,25
1213,18
1214,1
1215,7
1216,31
1217,170
1218,64
1219,26
1220,32
1221,3
1222,62
1223,16
1224,16
1225,3
1226,36
1227,10
1228,30
1229,387
1230,1
1231,5
1232,11
1233,191
1234,115
1235,249
1236,108
1237,259
1238,2
1239,7
1240,9
1241,3
1242,2
1243,56
1244,43
1245,2
1246,5
1247,1
1248,33
1249,5
1250,215
1251,12
1252,90
1253,1
1254,53
1255,16
1256,20
1257,53
1258,37
1259,11
1260,2
1261,5
1262,4
1263,10
1264,6
1265,1
1266,9
1267,1
1268,52
1269,5
1270,5
1271,4
1272,29
1273,20
